"",,,,,Kumulativ incidens
"",,,Antal COVID-19-,,(per 100.000
Kommune (id),Kommune (navn),Antal testede,tilfælde,Befolkning,indbyggere)
101,København,20.126,1.707,623.404,274
147,Frederiksberg,3.353,315,103.960,303
155,Dragør,380,27,14.270,189
185,Tårnby,1.251,75,42.984,174
165,Albertslund,980,114,27.877,409
151,Ballerup,1.752,144,48.458,297
153,Brøndby,1.117,118,35.397,333
157,Gentofte,2.312,201,75.176,267
159,Gladsaxe,2.341,195,69.681,280
161,Glostrup,919,111,22.615,491
163,Herlev,1.043,87,28.786,302
167,Hvidovre,1.990,220,53.416,412
169,Høje-Taastrup,1.397,127,50.686,251
183,Ishøj,681,87,22.946,379
173,Lyngby-Taarbæk,1.769,118,55.790,212
175,Rødovre,1.337,115,40.052,287
187,Vallensbæk,561,78,16.654,468
201,Allerød,706,24,25.646,94
240,Egedal,1.485,173,43.335,399
210,Fredensborg,1.187,48,40.819,118
250,Frederikssund,1.371,76,45.332,168
190,Furesø,1.275,60,41.069,146
270,Gribskov,1.293,59,41.195,143
260,Halsnæs,883,33,31.271,106
217,Helsingør,2.072,106,62.567,169
219,Hillerød,1.642,87,50.998,171
223,Hørsholm,768,53,25.007,212
230,Rudersdal,1.717,116,56.509,205
400,Bornholm,1.234,60,39.572,152
411,Christiansø,3,<10 tilfælde,90,<10 tilfælde
253,Greve,1.004,76,50.267,151
259,Køge,1.253,104,60.675,171
350,Lejre,627,40,27.775,144
265,Roskilde,1.867,134,87.577,153
269,Solrød,460,38,23.065,165
320,Faxe,793,46,36.513,126
376,Guldborgsund,1.513,64,60.930,105
316,Holbæk,1.839,120,71.297,168
326,Kalundborg,982,56,48.681,115
360,Lolland,1.044,68,41.615,163
370,Næstved,3.005,117,82.991,141
"",,,,,Kumulativ incidens
"",,,Antal COVID-19-,,(per 100.000
Kommune (id),Kommune (navn),Antal testede,tilfælde,Befolkning,indbyggere)
306,Odsherred,760,41,33.122,124
329,Ringsted,706,30,34.725,86
330,Slagelse,2.378,274,79.073,347
340,Sorø,739,50,29.834,168
336,Stevns,430,21,22.782,92
390,Vordingborg,1.107,37,45.816,81
420,Assens,963,19,41.212,46
430,Faaborg-Midtfyn,1.180,29,51.809,56
440,Kerteminde,573,13,23.773,55
482,Langeland,312,<10 tilfælde,12.560,<10 tilfælde
410,Middelfart,1.085,41,38.553,106
480,Nordfyns,755,14,29.693,47
450,Nyborg,808,33,32.042,103
461,Odense,5.779,162,204.182,79
479,Svendborg,1.838,78,58.599,133
492,Ærø,122,<10 tilfælde,6.058,<10 tilfælde
530,Billund,503,19,26.629,71
561,Esbjerg,2.883,113,115.652,98
563,Fanø,6 0,<10 tilfælde,3.404,<10 tilfælde
607,Fredericia,1.337,38,51.427,74
510,Haderslev,989,<10 tilfælde,55.857,<10 tilfælde
621,Kolding,2.567,102,92.893,110
540,Sønderborg,1.373,14,74.561,19
550,Tønder,612,12,37.587,32
573,Varde,1.010,18,50.129,36
575,Vejen,884,22,42.863,51
630,Vejle,2.804,72,114.830,63
580,Aabenraa,1.428,41,59.035,69
710,Favrskov,940,24,48.374,50
766,Hedensted,883,13,46.747,28
615,Horsens,1.902,37,90.370,41
707,Norddjurs,670,<10 tilfælde,37.680,<10 tilfælde
727,Odder,472,<10 tilfælde,22.675,<10 tilfælde
730,Randers,1.900,26,97.909,27
741,Samsø,5 5,<10 tilfælde,3.684,<10 tilfælde
740,Silkeborg,2.232,112,93.054,120
746,Skanderborg,1.426,50,61.974,81
706,Syddjurs,880,13,42.768,30
751,Aarhus,8.721,320,345.332,93
657,Herning,2.253,240,88.917,270
661,Holstebro,2.018,234,58.504,400
756,Ikast-Brande,857,46,41.282,111
665,Lemvig,348,22,19.998,110
760,Ringkøbing-Skjern,1.021,63,56.930,111
779,Skive,908,43,46.224,93
671,Struer,476,29,21.143,137
791,Viborg,2.344,87,97.113,90
810,Brønderslev,1.080,37,36.370,102
813,Frederikshavn,1.210,14,59.987,23
860,Hjørring,1.728,23,64.665,36
849,Jammerbugt,1.005,21,38.460,55
825,Læsø,3 8,<10 tilfælde,1.806,<10 tilfælde
846,Mariagerfjord,1.071,30,42.055,71
773,Morsø,582,17,20.403,83
840,Rebild,800,13,29.916,43
787,Thisted,1.055,32,43.660,73
820,Vesthimmerlands,1.004,44,37.121,119
851,Aalborg,6.076,139,215.312,65
